metrics_path,task,backend,condition,model,model_label,passed,runtime_seconds,event_count,item_count,trace_id,conversation_id,remote_output
results/software-dependency-audit/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/no-skill/metrics.json,software-dependency-audit,agent-server,no-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,False,207.41,58,14,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,software-dependency-audit,agent-server,improved-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,True,63.66,22,3,,,/workspace/project/output/report.json
results/sec-financial-report/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/no-skill/metrics.json,sec-financial-report,agent-server,no-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,True,58.82,21,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,sec-financial-report,agent-server,improved-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,True,359.47,24,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sales-pivot-analysis/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/no-skill/metrics.json,sales-pivot-analysis,agent-server,no-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,True,176.95,44,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,sales-pivot-analysis,agent-server,improved-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,True,141.21,34,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/software-dependency-audit/fresh-agent-server-openhands-minimax-m2-5/no-skill/metrics.json,software-dependency-audit,agent-server,no-skill,openhands/minimax-m2.5,fresh-agent-server-openhands-minimax-m2-5,False,355.82,59,26,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-minimax-m2-5/improved-skill/metrics.json,software-dependency-audit,agent-server,improved-skill,openhands/minimax-m2.5,fresh-agent-server-openhands-minimax-m2-5,True,123.95,21,3,,,/workspace/project/output/report.json
results/sec-financial-report/fresh-agent-server-openhands-minimax-m2-5/no-skill/metrics.json,sec-financial-report,agent-server,no-skill,openhands/minimax-m2.5,fresh-agent-server-openhands-minimax-m2-5,False,69.92,23,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-minimax-m2-5/improved-skill/metrics.json,sec-financial-report,agent-server,improved-skill,openhands/minimax-m2.5,fresh-agent-server-openhands-minimax-m2-5,True,75.76,25,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
