metrics_path,task,backend,condition,model,model_label,passed,runtime_seconds,event_count,item_count,trace_id,conversation_id,remote_output
results/sales-pivot-analysis/debug-agent-minimax-sales-improved/improved-skill/metrics.json,sales-pivot-analysis,agent-server,improved-skill,openhands/minimax-m2.5,debug-agent-minimax-sales-improved,True,144.21,31,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,sales-pivot-analysis,agent-server,improved-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,True,141.21,34,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/no-skill/metrics.json,sales-pivot-analysis,agent-server,no-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,True,176.95,44,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-gemini-3-flash-preview/improved-skill/metrics.json,sales-pivot-analysis,agent-server,improved-skill,openhands/gemini-3-flash-preview,fresh-agent-server-openhands-gemini-3-flash-preview,True,115.12,39,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-gemini-3-flash-preview/no-skill/metrics.json,sales-pivot-analysis,agent-server,no-skill,openhands/gemini-3-flash-preview,fresh-agent-server-openhands-gemini-3-flash-preview,True,262.96,85,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-gemini-3-pro-preview/improved-skill/metrics.json,sales-pivot-analysis,agent-server,improved-skill,openhands/gemini-3-pro-preview,fresh-agent-server-openhands-gemini-3-pro-preview,True,350.8,35,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-gemini-3-pro-preview/no-skill/metrics.json,sales-pivot-analysis,agent-server,no-skill,openhands/gemini-3-pro-preview,fresh-agent-server-openhands-gemini-3-pro-preview,True,596.96,85,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-kimi-k2-0711-preview/improved-skill/metrics.json,sales-pivot-analysis,agent-server,improved-skill,openhands/kimi-k2-0711-preview,fresh-agent-server-openhands-kimi-k2-0711-preview,False,,,,,,/Users/rajiv.shah/Code/evaluating_skills_tutorial/results/sales-pivot-analysis/fresh-agent-server-openhands-kimi-k2-0711-preview/improved-skill/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-kimi-k2-0711-preview/no-skill/metrics.json,sales-pivot-analysis,agent-server,no-skill,openhands/kimi-k2-0711-preview,fresh-agent-server-openhands-kimi-k2-0711-preview,False,,,,,,/Users/rajiv.shah/Code/evaluating_skills_tutorial/results/sales-pivot-analysis/fresh-agent-server-openhands-kimi-k2-0711-preview/no-skill/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-minimax-m2-5/improved-skill/metrics.json,sales-pivot-analysis,agent-server,improved-skill,openhands/minimax-m2.5,fresh-agent-server-openhands-minimax-m2-5,True,206.18,39,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-agent-server-openhands-minimax-m2-5/no-skill/metrics.json,sales-pivot-analysis,agent-server,no-skill,openhands/minimax-m2.5,fresh-agent-server-openhands-minimax-m2-5,True,280.64,65,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-cloud-openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,sales-pivot-analysis,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,fresh-cloud-openhands-claude-sonnet-4-5-20250929,False,92.97,46,4,,d89f566732304d388df2456e475aaff5,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-cloud-openhands-claude-sonnet-4-5-20250929/no-skill/metrics.json,sales-pivot-analysis,cloud,no-skill,openhands/claude-sonnet-4-5-20250929,fresh-cloud-openhands-claude-sonnet-4-5-20250929,True,87.49,45,10,,1646d594fa2a47c1aa93b4dccd7ee827,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-cloud-openhands-gemini-3-flash-preview/improved-skill/metrics.json,sales-pivot-analysis,cloud,improved-skill,openhands/gemini-3-flash-preview,fresh-cloud-openhands-gemini-3-flash-preview,True,65.47,33,10,,8efb7668053040a1a7eebf51c23d45e4,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-cloud-openhands-gemini-3-flash-preview/no-skill/metrics.json,sales-pivot-analysis,cloud,no-skill,openhands/gemini-3-flash-preview,fresh-cloud-openhands-gemini-3-flash-preview,True,131.48,67,10,,dbf3c4b61c58435dba6b02400d7154ce,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-cloud-openhands-gemini-3-pro-preview/improved-skill/metrics.json,sales-pivot-analysis,cloud,improved-skill,openhands/gemini-3-pro-preview,fresh-cloud-openhands-gemini-3-pro-preview,True,147.43,74,10,,0ec535c7a7844bff978824987e1cdfd3,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
